path,kind,status,bytes,size,sha256,detail
D:\Desktop\my_project\paper_reproduction\DPPO\.cache,directory aggregate,created,4068604224,3.79 GiB,,project-local package cache
D:\Desktop\my_project\paper_reproduction\DPPO\.cache\pip,resource aggregate,created,4068604224,3.79 GiB,,pip download/install cache
D:\Desktop\my_project\paper_reproduction\DPPO\.cache\torch,resource aggregate,created,0,0.00 B,,torch cache
D:\Desktop\my_project\paper_reproduction\DPPO\.gitignore,publication file,created,544,544.00 B,76db13412972e9821c4b66360de7193a72711915ef0837c54c3f21a0e66011e7,GitHub review material
D:\Desktop\my_project\paper_reproduction\DPPO\.gitmodules,publication file,created,106,106.00 B,7a0513ccaabea1daef8edd0f1a3a539333ae10d936ff61bfe4503249abea1e73,GitHub review material
D:\Desktop\my_project\paper_reproduction\DPPO\.runtime,directory aggregate,created,7205695250,6.71 GiB,,"project-local venv, MuJoCo runtime, gdown helper, mjrl"
D:\Desktop\my_project\paper_reproduction\DPPO\.runtime\gdown_tools,resource aggregate,created,6306257,6.01 MiB,,Windows-side Google Drive downloader
D:\Desktop\my_project\paper_reproduction\DPPO\.runtime\mjrl_source,resource aggregate,created,422253,412.36 KiB,,third-party mjrl source checkout
D:\Desktop\my_project\paper_reproduction\DPPO\.runtime\mujoco210,resource aggregate,created,8784202,8.38 MiB,,MuJoCo 2.1.0 runtime
D:\Desktop\my_project\paper_reproduction\DPPO\.runtime\venv,resource aggregate,created,7190182538,6.70 GiB,,WSL Python virtual environment
D:\Desktop\my_project\paper_reproduction\DPPO\.tmp,directory aggregate,created,4385135,4.18 MiB,,download/extraction temporary area; retained for audit
D:\Desktop\my_project\paper_reproduction\DPPO\.tmp\mujoco210-linux-x86_64.tar.gz,temporary file,created/downloaded,4385135,4.18 MiB,a436ca2f4144c38b837205635bbd60ffe1162d5b44c87df22232795978d7d012,retained for audit
D:\Desktop\my_project\paper_reproduction\DPPO\checkpoints,directory aggregate,created,13574849,12.95 MiB,,recursive aggregate
D:\Desktop\my_project\paper_reproduction\DPPO\checkpoints\official\halfcheetah_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt,file,created/downloaded,4565995,4.35 MiB,ec1169d29e2d0e006f0c2477ee8bc976b2f9b04b2c209df5bce9f36dd42596b8,
D:\Desktop\my_project\paper_reproduction\DPPO\checkpoints\official\hopper_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt,file,created/downloaded,4442859,4.24 MiB,9a5839d3d172d1e24b5bed0831d49bb3116a7e62fafa223c57c322f4bc7e9121,
D:\Desktop\my_project\paper_reproduction\DPPO\checkpoints\official\walker2d_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt,file,created/downloaded,4565995,4.35 MiB,1a650d5d882c78cfef1d753c532c0bdbced054738b0076efe6ce29d088681fa0,
D:\Desktop\my_project\paper_reproduction\DPPO\data,directory aggregate,created,245214840,233.86 MiB,,recursive aggregate
