section,task,policy,metric,value,unit,note
B1,square,ft,loss_relative_error,0.0,relative,official scalar actor vs exact per-item mean
B1,square,ft,gradient_relative_error,0.0,relative,official actor gradient vs reconstructed mean
B2,toy,float64,gradient_expectation_abs_error,1.1102230246251565e-16,absolute,exact enumeration
MC_LAST_LAYER,square,bc,uniform.mse,0.07247770779697991,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.mse_ratio_to_uniform,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.gradient_bias_norm,0.017822550583860976,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.mse_se,0.0008651362578540135,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.gradient_second_moment,0.10631258054762657,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.ess_mean,319.99999999999994,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.weight_min,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.weight_max,1.0,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,uniform.episode_cluster_bootstrap_ci_low,14.931366002559662,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,bc,uniform.episode_cluster_bootstrap_ci_high,31.384448945522305,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,bc,timestep-only.mse,0.06513858877818242,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.mse_ratio_to_uniform,0.8987396367534776,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.gradient_bias_norm,0.016497804242613618,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.mse_se,0.0007440750807844325,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.gradient_second_moment,0.0987146584898591,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.ess_mean,299.2263951242515,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.weight_min,0.6772433500522146,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.weight_max,1.42137978131071,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,timestep-only.episode_cluster_bootstrap_ci_low,15.347910584509373,diagnostic,episode-cluster bootstrap lower bound; proxy contribution CI
MC_LAST_LAYER,square,bc,timestep-only.episode_cluster_bootstrap_ci_high,31.65181299448013,diagnostic,episode-cluster bootstrap upper bound; proxy contribution CI
MC_LAST_LAYER,square,bc,state-aware.mse,0.09057469992991429,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.mse_ratio_to_uniform,1.2496904590805569,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.gradient_bias_norm,0.020250028103789775,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.mse_se,0.0012476942159398968,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.gradient_second_moment,0.12467990124107536,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.ess_mean,103.29557816355775,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.weight_min,0.26215272037001136,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
MC_LAST_LAYER,square,bc,state-aware.weight_max,4.97814822846325,diagnostic,200 draws; M=50% of 640 items; last-layer gradient proxy
