task,checkpoint,split,episode,boundary,direction,target_budget,actual_budget,metric_name,noise_block,sample_count,value
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,gaussian_kl_sum,none,1,0.16286510229110718
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,gaussian_kl_mean,none,1,0.0005816610646434128
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,gaussian_kl_max_step,none,1,0.0024462088476866484
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,gaussian_kl_exec_normalized,none,1,0.0005816610646434128
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,direct_mu_l2_normalized,none,1,0.003619815455749631
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,fixed_tape_action_l2,paired,64,3.372945502633229e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,reference_mmd2_unbiased,A,64,7.096724078836658e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,reference_mmd2_unbiased,B,64,0.00010442708722147032
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,reference_energy_distance,A,64,0.0011876113529315502
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,reference_energy_distance,B,64,0.012204899275283121
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,official_policy_ratio_mean,frozen_chain,10,0.9982043504714966
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,ratio_outside_clip,frozen_chain,10,0.5
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,true_ppo_blocked_fraction,frozen_chain,10,0.4
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,0.0005816610646434128,logprob_clamp_indicator,frozen_chain,10,0.0
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,gaussian_kl_sum,none,1,0.4916756749153137
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,gaussian_kl_mean,none,1,0.0017559846164658666
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,gaussian_kl_max_step,none,1,0.007055191323161125
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,gaussian_kl_exec_normalized,none,1,0.0017559846164658666
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,direct_mu_l2_normalized,none,1,0.006360507104545832
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,fixed_tape_action_l2,paired,64,6.683613901259378e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,reference_mmd2_unbiased,A,64,-1.1879966172578804e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,reference_mmd2_unbiased,B,64,3.887147282233272e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,reference_energy_distance,A,64,-0.0009981149435995817
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,reference_energy_distance,B,64,0.004787818222748763
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,official_policy_ratio_mean,frozen_chain,10,0.9891347885131836
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,ratio_outside_clip,frozen_chain,10,0.6
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,true_ppo_blocked_fraction,frozen_chain,10,0.6
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,0.0017559846164658666,logprob_clamp_indicator,frozen_chain,10,0.0
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,gaussian_kl_sum,none,1,0.18149858713150024
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,gaussian_kl_mean,none,1,0.0006482092430815101
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,gaussian_kl_max_step,none,1,0.0030993991531431675
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,gaussian_kl_exec_normalized,none,1,0.0006482092430815101
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,direct_mu_l2_normalized,none,1,0.0038746402133256197
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,fixed_tape_action_l2,paired,64,2.35307543334784e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,reference_mmd2_unbiased,A,64,-2.3217287159704725e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,reference_mmd2_unbiased,B,64,-1.0709819103116303e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,reference_energy_distance,A,64,-0.0034168322113964367
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,reference_energy_distance,B,64,-0.0012435994385038285
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,official_policy_ratio_mean,frozen_chain,10,0.9952179193496704
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,ratio_outside_clip,frozen_chain,10,0.7
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,true_ppo_blocked_fraction,frozen_chain,10,0.6
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,2,0,D_all,0.001,0.0006482092430815101,logprob_clamp_indicator,frozen_chain,10,0.0
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,gaussian_kl_sum,none,1,0.9245128035545349
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,gaussian_kl_mean,none,1,0.003301831427961588
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,gaussian_kl_max_step,none,1,0.012914596125483513
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,gaussian_kl_exec_normalized,none,1,0.003301831427961588
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,direct_mu_l2_normalized,none,1,0.0088172797113657
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,fixed_tape_action_l2,paired,64,0.00010249778279103339
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,reference_mmd2_unbiased,A,64,9.224355591874733e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,3,0,D_all,0.001,0.003301831427961588,reference_mmd2_unbiased,B,64,2.9939221703356722e-05
