task,checkpoint,split,episode,boundary,direction,target_budget,actual_budget,metric_name,noise_block,sample_count,value
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,gaussian_kl_sum,none,1,0.0020825862884521484
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,gaussian_kl_mean,none,1,7.43780810807948e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,gaussian_kl_max_step,none,1,7.437808562826831e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,gaussian_kl_exec_normalized,none,1,7.43780810807948e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,direct_mu_l2_normalized,none,1,0.0013082533841952682
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,fixed_tape_action_l2,paired,64,1.4177652701619081e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,reference_mmd2_unbiased,A,64,-0.00037214491102430556
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,reference_mmd2_unbiased,B,64,-0.000484406001984127
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,reference_energy_distance,A,64,-0.00015306851220511786
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,reference_energy_distance,B,64,-9.409965030732215e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,ratio_mean,frozen_chain,10,0.9989827275276184
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,ratio_out_of_clip,frozen_chain,10,0.1
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,0,0,D_all,0.001,7.43780810807948e-06,ppo_blocked_fraction,frozen_chain,10,0.1
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,gaussian_kl_sum,none,1,0.002403855323791504
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,gaussian_kl_mean,none,1,8.5851979747531e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,gaussian_kl_max_step,none,1,8.5851979747531e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,gaussian_kl_exec_normalized,none,1,8.5851979747531e-06
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,direct_mu_l2_normalized,none,1,0.0012872781371697783
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,fixed_tape_action_l2,paired,64,2.6901965611614287e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,1,0,D_all,0.001,8.5851979747531e-06,reference_mmd2_unbiased,A,64,-0.0010012672061011905
