task,checkpoint_hash,reset_seed,source_policy,boundary,pulse_direction,pulse_magnitude,condition,screening_or_test,block,draw,native_success,termination_reason,remaining_horizon,actual_steps,snapshot_id,pulse_id,target_pulse_magnitude,actual_action_delta,clip_ratio,eef_displacement_vs_sham,object_displacement_vs_sham,success_before_pulse,success_during_pulse,done_during_pulse,pulse_complete,action_coordinate,reference_frame,sampler_seed
square,c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3,940001,bc,10,,,parent,parent,,,0,natural_termination_or_horizon,0,400,,,,,,,,,,,,,,
square,c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3,940001,bc,10,+x,0.0,sham,pulse,,,0,pulse_complete,356,4,square-seed940001-bc-b10,square-seed940001-bc-b10-m0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3,940001,bc,10,+x,0.125,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-bc-b10,square-seed940001-bc-b10-m0.125,0.125,0.125,0.0,0.004517332067762651,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3,940001,bc,10,+x,0.25,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-bc-b10,square-seed940001-bc-b10-m0.25,0.25,0.25,0.0,0.009025613623593139,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3,940001,bc,10,+x,0.5,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-bc-b10,square-seed940001-bc-b10-m0.5,0.5,0.5,0.0,0.0179906024326201,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,18031b2ed2ee422f6e85bd8c113e199d46e0b29f3f2b2d6b4828e67449e0cf25,940001,ft,10,,,parent,parent,,,1,native_success,272,128,,,,,,,,,,,,,,
square,18031b2ed2ee422f6e85bd8c113e199d46e0b29f3f2b2d6b4828e67449e0cf25,940001,ft,10,+x,0.0,sham,pulse,,,0,pulse_complete,356,4,square-seed940001-ft-b10,square-seed940001-ft-b10-m0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,18031b2ed2ee422f6e85bd8c113e199d46e0b29f3f2b2d6b4828e67449e0cf25,940001,ft,10,+x,0.125,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-ft-b10,square-seed940001-ft-b10-m0.125,0.125,0.125,0.0,0.004449952675253519,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,18031b2ed2ee422f6e85bd8c113e199d46e0b29f3f2b2d6b4828e67449e0cf25,940001,ft,10,+x,0.25,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-ft-b10,square-seed940001-ft-b10-m0.25,0.25,0.25,0.0,0.008915478598640522,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
square,18031b2ed2ee422f6e85bd8c113e199d46e0b29f3f2b2d6b4828e67449e0cf25,940001,ft,10,+x,0.5,perturbed,pulse,,,0,pulse_complete,356,4,square-seed940001-ft-b10,square-seed940001-ft-b10-m0.5,0.5,0.5,0.0,0.017866241939157427,0.0,0,0,0,1,"robot0 OSC_POSE input [dx,dy,dz,ax,ay,az], action index 0/1",robosuite controller relative command convention,
