"task","checkpoint_hash","reset_seed","source_policy","boundary","pulse_direction","condition","screening_or_test","block","draw","native_success","termination_reason","remaining_horizon","actual_steps","snapshot_id","pulse_id","actual_action_delta"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","","parent","parent","","-1","0","horizon_or_natural_termination","0","400","","","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","sham","pulse","","-1","0","pulse_complete","316","4","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","perturbed","pulse","","-1","0","pulse_complete","316","4","square-seed920001-bc-b20","square-seed920001-bc-b20","0.25"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_sham","screening","","0","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_sham","screening","","1","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_sham","screening","","2","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_sham","screening","","3","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_perturbed","screening","","0","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_perturbed","screening","","1","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
"square","c9e22005b58ba2524782e3068c8341554e419acf66f095e238e56df41d9a7aa3","920001","bc","20","+x","bc_perturbed","screening","","2","0","episode_horizon","0","316","square-seed920001-bc-b20","square-seed920001-bc-b20","0.0"
