iteration,environment_steps,eval_episode_reward,train_episode_reward
0,0,4170.441033292451,
1,80000,,4014.579453703147
2,160000,,3960.0297298244136
3,240000,,3974.1664410170342
4,320000,,3916.3907097797883
5,400000,,4065.581159130412
6,480000,,4118.831185895976
7,560000,,4096.471559317196
8,640000,,4109.879039011025
9,720000,,4218.854061615323
10,720000,4524.543411036244,
11,800000,,4089.845504192155
12,880000,,4257.605450335861
13,960000,,4185.252790012646
14,1040000,,4201.909322290039
15,1120000,,4214.10848386655
16,1200000,,4184.847594742074
17,1280000,,4164.82034642214
18,1360000,,4203.066751848667
19,1440000,,4169.726272295567
20,1440000,4584.855564442685,
21,1520000,,4299.956446298153
22,1600000,,4232.341306814083
23,1680000,,4315.845566860026
24,1760000,,4271.093695211385
25,1840000,,4252.072186356114
26,1920000,,4221.959198779102
27,2000000,,4243.851489935254
28,2080000,,4244.280131168016
29,2160000,,4293.958827220084
30,2160000,4637.796151512167,
31,2240000,,4327.911317138323
32,2320000,,4312.915508827138
33,2400000,,4238.4645497220745
34,2480000,,4196.173079862834
35,2560000,,4359.818268210502
36,2640000,,4255.168813778935
37,2720000,,4246.3618324522595
38,2800000,,4230.814592387849
39,2880000,,4318.92568127516
40,2880000,4656.088371801436,
41,2960000,,4341.540560457478
42,3040000,,4293.2695321409
43,3120000,,4383.47851221364
44,3200000,,4359.118058863143
45,3280000,,4312.440798020075
46,3360000,,4367.1836866232225
47,3440000,,4279.736124863477
48,3520000,,4381.238096743218
49,3600000,,4373.70050940837
50,3600000,4622.698818798041,
51,3680000,,4212.668369095064
52,3760000,,4294.24801517926
53,3840000,,4302.592991776043
54,3920000,,4264.640936568442
55,4000000,,4355.4909361606915
56,4080000,,4358.112551966463
57,4160000,,4371.674183415348
58,4240000,,4426.130696674938
59,4320000,,4390.109592845152
60,4320000,4569.378012791465,
61,4400000,,4411.661297064221
62,4480000,,4360.176973928776
63,4560000,,4371.745435275897
64,4640000,,4372.068582569619
65,4720000,,4365.953737044208
66,4800000,,4259.5355525449795
67,4880000,,4328.026531445701
68,4960000,,4367.740275824451
69,5040000,,4317.092880836928
70,5040000,4683.969136806723,
71,5120000,,4286.08433198563
72,5200000,,4375.675417680491
73,5280000,,4389.940632554986
74,5360000,,4412.3460065161
75,5440000,,4391.860578645554
76,5520000,,4390.742952517172
77,5600000,,4389.713552238494
78,5680000,,4408.852819787395
79,5760000,,4400.381293434158
80,5760000,4565.714413347598,
81,5840000,,4458.923971546146
82,5920000,,4427.033113986459
83,6000000,,4381.345630056946
84,6080000,,4321.702781330651
85,6160000,,4406.4129466654795
86,6240000,,4408.501925106083
87,6320000,,4362.328191133448
88,6400000,,4373.305483527023
89,6480000,,4388.375153371331
90,6480000,4702.242523710464,
91,6560000,,4489.435801848241
92,6640000,,4466.15710074941
93,6720000,,4393.963762184866
94,6800000,,4471.413614810947
95,6880000,,4340.196806078762
96,6960000,,4498.823078197123
97,7040000,,4453.964626546358
98,7120000,,4467.917539013397
99,7200000,,4459.3014775096435
100,7200000,4716.00349344162,
101,7280000,,4444.601919432493
102,7360000,,4464.041436881305
103,7440000,,4510.447001679636
104,7520000,,4438.257639570813
105,7600000,,4538.901925168691
106,7680000,,4411.57726699619
107,7760000,,4416.143932070752
108,7840000,,4498.905689873025
109,7920000,,4511.026587047636
110,7920000,4722.305735465793,
111,8000000,,4500.525832755762
112,8080000,,4519.4882402315025
113,8160000,,4396.069026880281
114,8240000,,4546.981217402087
115,8320000,,4517.235690100599
116,8400000,,4541.809694406593
117,8480000,,4465.676795803566
118,8560000,,4521.982243405182
119,8640000,,4588.713326973322
120,8640000,4800.92169824866,
121,8720000,,4522.5078740881945
122,8800000,,4539.5255328864305
123,8880000,,4544.931607535669
124,8960000,,4577.225684728701
