iteration,environment_steps,eval_episode_reward,train_episode_reward
0,0,1348.9467960030502,
1,80000,,1207.150572636474
2,160000,,1247.4057502058836
3,240000,,1194.3858951163245
4,320000,,1258.5578387364944
5,400000,,1285.0822163214852
6,480000,,1211.7091220914087
7,560000,,1237.0774286845574
8,640000,,1221.0325411372667
9,720000,,1191.37691046053
10,720000,1011.954731112054,
11,800000,,1174.7178861160216
12,880000,,1146.7056676977961
13,960000,,1157.924484716845
14,1040000,,1143.2235545489652
15,1120000,,1177.5514508377146
16,1200000,,1168.8007715050185
17,1280000,,1113.1875801484605
18,1360000,,1121.498627120362
19,1440000,,1157.360559748299
20,1440000,1124.0241166697933,
21,1520000,,1118.0308484312739
22,1600000,,1118.3353096707176
23,1680000,,1120.4823491358818
24,1760000,,1162.2514018048348
25,1840000,,1141.0072028785778
26,1920000,,1145.1728129758555
27,2000000,,1150.7247469234846
28,2080000,,1185.3555471883958
29,2160000,,1176.1473258314957
30,2160000,1876.5188812404595,
31,2240000,,1161.8758670906207
32,2320000,,1202.9230389733166
33,2400000,,1215.0598295425957
34,2480000,,1231.9799738548031
35,2560000,,1207.3450675835204
36,2640000,,1198.7880920030263
37,2720000,,1199.3630484241623
38,2800000,,1232.0640846419158
39,2880000,,1232.8651494328287
40,2880000,2309.428599592315,
41,2960000,,1236.2340972579668
42,3040000,,1205.3672743259133
43,3120000,,1255.0357865160597
44,3200000,,1238.0028527953718
45,3280000,,1222.9653584332202
46,3360000,,1229.8854252946237
47,3440000,,1216.5485040560468
48,3520000,,1203.673988844296
49,3600000,,1234.0844459674984
50,3600000,2642.5501745195875,
51,3680000,,1248.3634367380005
52,3760000,,1244.7440540822283
53,3840000,,1212.3664450864385
54,3920000,,1253.4889317654577
55,4000000,,1282.9765785681939
56,4080000,,1217.1794632113172
57,4160000,,1263.9302540867338
58,4240000,,1289.2117669546228
59,4320000,,1278.7742531485692
60,4320000,2755.8694071048126,
61,4400000,,1265.9827133893102
62,4480000,,1272.1081106517097
63,4560000,,1225.9261775685407
64,4640000,,1236.9798225039337
65,4720000,,1266.711194262365
66,4800000,,1265.4426860431283
67,4880000,,1269.19606733413
68,4960000,,1288.9112295950185
69,5040000,,1279.8284566957727
70,5040000,2858.4355498558893,
71,5120000,,1318.7429527480194
72,5200000,,1305.1977742105091
73,5280000,,1244.588207698766
74,5360000,,1310.8290263984431
75,5440000,,1309.562440604888
76,5520000,,1295.1403520683514
77,5600000,,1301.6117117586014
78,5680000,,1289.9603917089055
79,5760000,,1273.5031872913253
80,5760000,2869.6061112925004,
81,5840000,,1293.476175594249
82,5920000,,1304.2952525541002
83,6000000,,1277.4964740203093
84,6080000,,1327.6226471080613
85,6160000,,1300.9463213652966
86,6240000,,1317.4657618417186
87,6320000,,1364.6469317768644
88,6400000,,1309.4093859067461
89,6480000,,1373.7840053459347
90,6480000,2939.375261701429,
91,6560000,,1309.2319758638466
92,6640000,,1286.8901244789927
93,6720000,,1345.83907664636
94,6800000,,1332.1424908861072
95,6880000,,1352.9155872954268
96,6960000,,1347.32271072615
97,7040000,,1375.777491377266
98,7120000,,1325.7533153558322
99,7200000,,1354.5418196557766
100,7200000,2992.8702111981374,
101,7280000,,1300.5254805478048
102,7360000,,1334.128130903494
103,7440000,,1323.1978158248287
104,7520000,,1343.2573954251882
105,7600000,,1408.0903465715544
106,7680000,,1418.9406838714087
107,7760000,,1338.05758453747
108,7840000,,1382.1969132875388
109,7920000,,1338.2842453617943
110,7920000,3013.815834907884,
111,8000000,,1360.3665919849275
112,8080000,,1385.1671147145196
113,8160000,,1351.0442171173456
114,8240000,,1347.9568984668936
115,8320000,,1372.2078970664438
116,8400000,,1436.2621890102819
117,8480000,,1339.7085553677603
118,8560000,,1360.4909672419476
119,8640000,,1374.6339994745572
120,8640000,2982.9749211618073,
121,8720000,,1436.3108700656207
122,8800000,,1435.2630638383494
123,8880000,,1402.6479654828051
124,8960000,,1439.7455929659652
125,9040000,,1440.6529153208903
126,9120000,,1390.9990410105224
127,9200000,,1421.5619722285428
128,9280000,,1372.7664467907982
129,9360000,,1430.7460400002944
130,9360000,2963.3334370676735,
131,9440000,,1423.2248467356544
132,9520000,,1470.8033930813713
133,9600000,,1453.626599300836
134,9680000,,1393.4270672803864
135,9760000,,1403.085681083541
136,9840000,,1526.488896828262
137,9920000,,1439.7865003961156
138,10000000,,1475.8918222524512
139,10080000,,1462.226512906591
140,10080000,2944.101022739484,
141,10160000,,1474.6361691224492
142,10240000,,1554.7102970217418
143,10320000,,1435.6696154937474
144,10400000,,1494.87308279134
145,10480000,,1457.7225959417622
146,10560000,,1466.0936459369523
147,10640000,,1416.3242080607736
148,10720000,,1498.7950928831513
149,10800000,,1484.945597480999
150,10800000,2933.3681578266833,
151,10880000,,1535.3101734855713
152,10960000,,1537.7228177037207
153,11040000,,1463.646543785637
154,11120000,,1532.2733801601034
155,11200000,,1558.0477703929353
156,11280000,,1493.6860117961828
157,11360000,,1511.0351874741777
158,11440000,,1602.2258634040188
159,11520000,,1565.4060786653558
160,11520000,2916.9445320090767,
161,11600000,,1566.044080625355
162,11680000,,1619.7083467947716
163,11760000,,1563.32669746519
164,11840000,,1468.456972611194
165,11920000,,1614.489855531041
166,12000000,,1580.7959011853422
167,12080000,,1627.7044994791938
168,12160000,,1545.8381384602983
169,12240000,,1577.6949799064735
170,12240000,2915.407758199566,
171,12320000,,1632.9163764308296
172,12400000,,1589.8789439686554
173,12480000,,1551.3640974209427
174,12560000,,1668.4889286021908
175,12640000,,1621.8089278889122
176,12720000,,1678.2447870492597
177,12800000,,1650.1542951973106
178,12880000,,1622.0266857963325
179,12960000,,1660.3081292369136
180,12960000,2928.7232796810968,
181,13040000,,1772.8067823573601
182,13120000,,1630.5411210151208
183,13200000,,1694.377596012992
184,13280000,,1669.4217969179158
185,13360000,,1742.9845923251278
186,13440000,,1777.807160749269
187,13520000,,1698.977294067962
188,13600000,,1792.0140105948735
189,13680000,,1744.5410057006784
190,13680000,2940.8092377722646,
191,13760000,,1767.0805446976678
192,13840000,,1716.7786181417182
193,13920000,,1772.4517508658116
194,14000000,,1794.9650279000148
195,14080000,,1649.2771772295773
196,14160000,,1680.739098935202
197,14240000,,1837.7118295766481
198,14320000,,1786.9402776364143
199,14400000,,1852.8834296467812
200,14400000,2938.236421179701,
