method,seed,iteration,environment_steps,high_level_decision_steps,eval_episode_reward
DPPO,42,0,0,0,1436.6171779257947
DPPO,42,10,720000,180000,1656.2723263970584
DPPO,42,20,1440000,360000,2600.0720561655025
DPPO,42,30,2160000,540000,2886.6120907573772
DPPO,42,40,2880000,720000,2820.3139656130597
DPPO,42,50,3600000,900000,2790.6162013027024
DPPO,42,60,4320000,1080000,2723.093727266849
DPPO,42,70,5040000,1260000,2641.087525460591
DPPO,42,80,5760000,1440000,2653.4185685359907
DPPO,42,90,6480000,1620000,2517.6271589252447
DPPO,42,100,7200000,1800000,2549.544973620542
DPPO,42,110,7920000,1980000,2587.7144428164593
DPPO,42,120,8640000,2160000,2566.886263566731
DPPO,42,130,9360000,2340000,2556.509457566248
DPPO,42,140,10080000,2520000,2561.9617999489187
DPPO,42,150,10800000,2700000,2591.8990032082884
DPPO,42,160,11520000,2880000,2615.232112875666
DPPO,42,170,12240000,3060000,2561.544512200756
DPPO,42,180,12960000,3240000,2568.7257219214493
DPPO,42,190,13680000,3420000,2553.7892848329307
DPPO,42,200,14400000,3600000,2562.59113405866
DPPO,42,210,15120000,3780000,2593.771082977637
DPPO,42,220,15840000,3960000,2567.628198987916
DPPO,42,230,16560000,4140000,2566.991071647744
DPPO,42,240,17280000,4320000,2556.542961194288
DPPO,42,250,18000000,4500000,2576.161518952686
DPPO,42,260,18720000,4680000,2589.057237825804
DPPO,42,270,19440000,4860000,2596.0014448593233
DPPO,42,280,20160000,5040000,2593.350893412682
DPPO,42,290,20880000,5220000,2656.155144381336
DPPO,42,300,21600000,5400000,2685.4202078380695
DPPO,42,310,22320000,5580000,2749.7443607361793
DPPO,42,320,23040000,5760000,2813.08937356736
DPPO,42,330,23760000,5940000,2851.8328230194275
DPPO,42,340,24480000,6120000,2937.096349332415
DPPO,42,350,25200000,6300000,2938.462718800338
DPPO,42,360,25920000,6480000,2914.9969602514016
DPPO,42,370,26640000,6660000,2907.184801587099
DPPO,42,380,27360000,6840000,2933.064794407814
DPPO,42,390,28080000,7020000,2934.788457343036
DPPO,42,400,28800000,7200000,2924.4345965975763
DPPO,42,410,29520000,7380000,2921.251498735014
DPPO,42,420,30240000,7560000,2910.3081942430017
DPPO,42,430,30960000,7740000,2936.053307531064
DPPO,42,440,31680000,7920000,2958.3090310763137
DPPO,42,450,32400000,8100000,2935.2171709334066
DPPO,42,460,33120000,8280000,2949.487201474046
DPPO,42,470,33840000,8460000,2955.7842502771114
DPPO,42,480,34560000,8640000,2932.785835577924
DPPO,42,490,35280000,8820000,2928.8706312836293
DPPO,42,500,36000000,9000000,2932.6670658034504
DPPO,42,510,36720000,9180000,2937.9533358535723
DPPO,42,520,37440000,9360000,2924.48605018875
DPPO,42,530,38160000,9540000,2911.146478502742
DPPO,42,540,38880000,9720000,2881.5697930382566
DPPO,42,550,39600000,9900000,2863.8313585152073
DPPO,42,560,40320000,10080000,2833.5709947780697
DPPO,42,570,41040000,10260000,2850.558805185972
DPPO,42,580,41760000,10440000,2773.155963184695
DPPO,42,590,42480000,10620000,2674.3272005742997
DPPO,42,600,43200000,10800000,2562.995428243502
DPPO,42,610,43920000,10980000,2612.5262810732947
DPPO,42,620,44640000,11160000,2533.441489756517
DPPO,42,630,45360000,11340000,2482.907097179909
DPPO,42,640,46080000,11520000,2500.0289060854134
DPPO,42,650,46800000,11700000,2468.8721999479017
DPPO,42,660,47520000,11880000,2416.981674544425
DPPO,42,670,48240000,12060000,2389.9605607290164
DPPO,42,680,48960000,12240000,2464.9160480310193
DPPO,42,690,49680000,12420000,2483.693426336994
DPPO,42,700,50400000,12600000,2516.7821890057576
DPPO,42,710,51120000,12780000,2448.247543489216
DPPO,42,720,51840000,12960000,2479.0456892825805
DPPO,42,730,52560000,13140000,2486.5269074178277
DPPO,42,740,53280000,13320000,2496.2367918424343
DPPO,42,750,54000000,13500000,2469.790421174747
DPPO,42,760,54720000,13680000,2471.2027854124076
DPPO,42,770,55440000,13860000,2540.365375077335
DPPO,42,780,56160000,14040000,2561.8752802864656
DPPO,42,790,56880000,14220000,2574.3746515010034
DPPO,42,800,57600000,14400000,2515.434402414964
DPPO,42,810,58320000,14580000,2605.4324553759484
DPPO,42,820,59040000,14760000,2643.7371345166025
DPPO,42,830,59760000,14940000,2720.3576285729587
DPPO,42,840,60480000,15120000,2817.4735188025757
DPPO,42,850,61200000,15300000,2759.633131407153
DPPO,42,860,61920000,15480000,2799.6484278846415
DPPO,42,870,62640000,15660000,2925.0389071686495
DPPO,42,880,63360000,15840000,2894.534498021406
DPPO,42,890,64080000,16020000,2953.146119425771
DPPO,42,900,64800000,16200000,2962.6090050059565
DPPO,42,910,65520000,16380000,2935.615627379665
DPPO,42,920,66240000,16560000,3005.307793018902
DPPO,42,930,66960000,16740000,2978.621601801141
DPPO,42,940,67680000,16920000,3051.935590599868
DPPO,42,950,68400000,17100000,3050.419192104123
DPPO,42,960,69120000,17280000,3053.582836346841
DPPO,42,970,69840000,17460000,3083.006798911951
DPPO,42,980,70560000,17640000,3090.391655932988
DPPO,42,990,71280000,17820000,3092.054468005484
IDQL,42,0,0,0,1348.9467960030502
IDQL,42,10,720000,180000,1011.954731112054
IDQL,42,20,1440000,360000,1124.0241166697933
IDQL,42,30,2160000,540000,1876.5188812404595
IDQL,42,40,2880000,720000,2309.428599592315
IDQL,42,50,3600000,900000,2642.5501745195875
IDQL,42,60,4320000,1080000,2755.8694071048126
IDQL,42,70,5040000,1260000,2858.4355498558893
IDQL,42,80,5760000,1440000,2869.6061112925004
IDQL,42,90,6480000,1620000,2939.375261701429
IDQL,42,100,7200000,1800000,2992.8702111981374
IDQL,42,110,7920000,1980000,3013.815834907884
IDQL,42,120,8640000,2160000,2982.9749211618073
IDQL,42,130,9360000,2340000,2963.3334370676735
IDQL,42,140,10080000,2520000,2944.101022739484
IDQL,42,150,10800000,2700000,2933.3681578266833
IDQL,42,160,11520000,2880000,2916.9445320090767
IDQL,42,170,12240000,3060000,2915.407758199566
IDQL,42,180,12960000,3240000,2928.7232796810968
IDQL,42,190,13680000,3420000,2940.8092377722646
IDQL,42,200,14400000,3600000,2938.236421179701
IDQL,42,210,15120000,3780000,2944.511623655651
IDQL,42,220,15840000,3960000,2950.6109950545856
IDQL,42,230,16560000,4140000,2959.6195768874545
IDQL,42,240,17280000,4320000,2987.109484843021
IDQL,42,250,18000000,4500000,2994.192474608419
IDQL,42,260,18720000,4680000,2997.356994163679
IDQL,42,270,19440000,4860000,2980.6010817738143
IDQL,42,280,20160000,5040000,2996.6947387748305
IDQL,42,290,20880000,5220000,2986.1497434877842
IDQL,42,300,21600000,5400000,2949.8416557314767
IDQL,42,310,22320000,5580000,2949.72741234757
IDQL,42,320,23040000,5760000,2956.695433093083
IDQL,42,330,23760000,5940000,2926.939706551384
IDQL,42,340,24480000,6120000,2932.5919458258563
IDQL,42,350,25200000,6300000,2943.2430837833285
IDQL,42,360,25920000,6480000,2951.589949065965
IDQL,42,370,26640000,6660000,2971.285330391563
