iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
0,0,0.0,0.045,5.885,,
1,60000,15000.0,,,,55.0
2,120000,30000.0,,,,50.64
3,180000,45000.0,,,,48.63
4,240000,60000.0,,,,48.85
5,300000,75000.0,,,,53.47
6,360000,90000.0,,,,46.82
7,420000,105000.0,,,,42.595
8,480000,120000.0,,,,38.415
9,540000,135000.0,,,,49.935
10,540000,135000.0,0.11,17.665,,
11,600000,150000.0,,,,44.15
12,660000,165000.0,,,,45.49
13,720000,180000.0,,,,41.99
14,780000,195000.0,,,,49.145
15,840000,210000.0,,,,50.815
16,900000,225000.0,,,,45.94
17,960000,240000.0,,,,46.305
18,1020000,255000.0,,,,51.03
19,1080000,270000.0,,,,56.38
20,1080000,270000.0,0.43,70.525,,
21,1140000,285000.0,,,,59.67
22,1200000,300000.0,,,,59.06
23,1260000,315000.0,,,,60.31
24,1320000,330000.0,,,,65.745
25,1380000,345000.0,,,,72.825
26,1440000,360000.0,,,,72.395
27,1500000,375000.0,,,,65.25
28,1560000,390000.0,,,,67.185
29,1620000,405000.0,,,,81.64
30,1620000,405000.0,0.94,166.35,,
31,1680000,420000.0,,,,78.54
32,1740000,435000.0,,,,82.105
33,1800000,450000.0,,,,86.93
34,1860000,465000.0,,,,71.755
35,1920000,480000.0,,,,92.2
36,1980000,495000.0,,,,91.2
37,2040000,510000.0,,,,90.755
38,2100000,525000.0,,,,88.195
39,2160000,540000.0,,,,98.51
40,2160000,540000.0,0.94,166.195,,
41,2220000,555000.0,,,,96.06
42,2280000,570000.0,,,,92.83
43,2340000,585000.0,,,,97.515
44,2400000,600000.0,,,,95.79
45,2460000,615000.0,,,,101.56
46,2520000,630000.0,,,,94.865
47,2580000,645000.0,,,,101.16
48,2640000,660000.0,,,,97.645
49,2700000,675000.0,,,,99.46
50,2700000,675000.0,0.965,167.715,,
51,2760000,690000.0,,,,103.63
52,2820000,705000.0,,,,104.38
53,2880000,720000.0,,,,104.765
54,2940000,735000.0,,,,103.855
55,3000000,750000.0,,,,102.65
56,3060000,765000.0,,,,107.34
57,3120000,780000.0,,,,106.33
58,3180000,795000.0,,,,102.565
59,3240000,810000.0,,,,115.665
60,3240000,810000.0,0.98,170.0,,
61,3300000,825000.0,,,,106.78
62,3360000,840000.0,,,,107.13
63,3420000,855000.0,,,,101.285
64,3480000,870000.0,,,,108.035
65,3540000,885000.0,,,,102.49
66,3600000,900000.0,,,,104.735
67,3660000,915000.0,,,,113.37
68,3720000,930000.0,,,,113.675
69,3780000,945000.0,,,,114.325
70,3780000,945000.0,0.98,174.425,,
71,3840000,960000.0,,,,116.83
72,3900000,975000.0,,,,108.185
73,3960000,990000.0,,,,121.62
74,4020000,1005000.0,,,,112.085
