iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
0,0,0.0,0.44,67.815,,
1,80000,20000.0,,,,41.235
2,160000,40000.0,,,,56.88
3,240000,60000.0,,,,52.205
4,320000,80000.0,,,,64.445
5,400000,100000.0,,,,54.43
6,480000,120000.0,,,,71.925
7,560000,140000.0,,,,63.375
8,640000,160000.0,,,,68.94
9,720000,180000.0,,,,79.21
10,720000,180000.0,0.545,99.735,,
11,800000,200000.0,,,,85.285
12,880000,220000.0,,,,84.075
13,960000,240000.0,,,,79.785
14,1040000,260000.0,,,,91.355
15,1120000,280000.0,,,,88.915
16,1200000,300000.0,,,,91.01
17,1280000,320000.0,,,,97.315
18,1360000,340000.0,,,,104.79
19,1440000,360000.0,,,,103.765
20,1440000,360000.0,0.655,128.315,,
21,1520000,380000.0,,,,115.51
22,1600000,400000.0,,,,109.31
23,1680000,420000.0,,,,113.325
24,1760000,440000.0,,,,129.75
25,1840000,460000.0,,,,129.695
26,1920000,480000.0,,,,130.09
27,2000000,500000.0,,,,122.765
28,2080000,520000.0,,,,122.385
29,2160000,540000.0,,,,130.91
30,2160000,540000.0,0.765,153.93,,
31,2240000,560000.0,,,,143.92
32,2320000,580000.0,,,,132.99
33,2400000,600000.0,,,,134.74
34,2480000,620000.0,,,,138.715
35,2560000,640000.0,,,,132.055
36,2640000,660000.0,,,,155.035
37,2720000,680000.0,,,,150.655
38,2800000,700000.0,,,,160.465
39,2880000,720000.0,,,,149.585
40,2880000,720000.0,0.805,168.965,,
41,2960000,740000.0,,,,153.93
42,3040000,760000.0,,,,170.84
43,3120000,780000.0,,,,155.98
44,3200000,800000.0,,,,162.775
45,3280000,820000.0,,,,177.13
46,3360000,840000.0,,,,164.385
47,3440000,860000.0,,,,173.035
48,3520000,880000.0,,,,174.855
49,3600000,900000.0,,,,170.28
50,3600000,900000.0,0.865,198.035,,
51,3680000,920000.0,,,,172.245
52,3760000,940000.0,,,,188.615
53,3840000,960000.0,,,,194.99
54,3920000,980000.0,,,,194.64
55,4000000,1000000.0,,,,191.71
56,4080000,1020000.0,,,,189.715
57,4160000,1040000.0,,,,197.42
58,4240000,1060000.0,,,,186.315
59,4320000,1080000.0,,,,189.38
60,4320000,1080000.0,0.915,220.39,,
61,4400000,1100000.0,,,,200.995
62,4480000,1120000.0,,,,197.305
63,4560000,1140000.0,,,,198.415
64,4640000,1160000.0,,,,197.375
65,4720000,1180000.0,,,,199.055
66,4800000,1200000.0,,,,196.055
67,4880000,1220000.0,,,,205.395
68,4960000,1240000.0,,,,209.88
69,5040000,1260000.0,,,,208.3
70,5040000,1260000.0,0.905,224.92,,
71,5120000,1280000.0,,,,218.89
72,5200000,1300000.0,,,,201.9
73,5280000,1320000.0,,,,221.76
74,5360000,1340000.0,,,,217.07
75,5440000,1360000.0,,,,218.73
76,5520000,1380000.0,,,,222.46
77,5600000,1400000.0,,,,221.985
78,5680000,1420000.0,,,,216.445
79,5760000,1440000.0,,,,207.775
80,5760000,1440000.0,0.91,234.01,,
81,5840000,1460000.0,,,,229.685
82,5920000,1480000.0,,,,222.725
83,6000000,1500000.0,,,,229.545
84,6080000,1520000.0,,,,222.67
85,6160000,1540000.0,,,,217.175
86,6240000,1560000.0,,,,224.79
87,6320000,1580000.0,,,,227.915
88,6400000,1600000.0,,,,224.27
