iteration,environment_steps,high_level_decision_steps,eval_success_rate,eval_episode_reward,train_success_rate,train_episode_reward
0,0,0.0,0.18,38.47,,
1,160000,20000.0,,,,8.415
2,320000,40000.0,,,,11.505
3,480000,60000.0,,,,14.475
4,640000,80000.0,,,,10.89
5,800000,100000.0,,,,16.52
6,960000,120000.0,,,,22.9
7,1120000,140000.0,,,,22.445
8,1280000,160000.0,,,,24.66
9,1440000,180000.0,,,,36.275
10,1440000,180000.0,0.27,61.005,,
11,1600000,200000.0,,,,37.655
12,1760000,220000.0,,,,27.575
13,1920000,240000.0,,,,34.87
14,2080000,260000.0,,,,52.695
15,2240000,280000.0,,,,50.7
16,2400000,300000.0,,,,45.43
17,2560000,320000.0,,,,70.985
18,2720000,340000.0,,,,55.015
19,2880000,360000.0,,,,61.435
20,2880000,360000.0,0.44,122.505,,
21,3040000,380000.0,,,,69.44
22,3200000,400000.0,,,,98.705
23,3360000,420000.0,,,,89.98
24,3520000,440000.0,,,,66.37
25,3680000,460000.0,,,,90.86
26,3840000,480000.0,,,,88.185
27,4000000,500000.0,,,,104.19
28,4160000,520000.0,,,,106.1
29,4320000,540000.0,,,,95.915
30,4320000,540000.0,0.61,191.265,,
31,4480000,560000.0,,,,128.525
32,4640000,580000.0,,,,123.36
33,4800000,600000.0,,,,139.075
34,4960000,620000.0,,,,143.635
35,5120000,640000.0,,,,138.315
36,5280000,660000.0,,,,118.185
37,5440000,680000.0,,,,152.355
38,5600000,700000.0,,,,153.135
39,5760000,720000.0,,,,145.07
40,5760000,720000.0,0.535,171.275,,
41,5920000,740000.0,,,,153.61
42,6080000,760000.0,,,,154.305
43,6240000,780000.0,,,,165.69
44,6400000,800000.0,,,,150.35
45,6560000,820000.0,,,,171.615
46,6720000,840000.0,,,,149.32
47,6880000,860000.0,,,,146.56
48,7040000,880000.0,,,,175.66
49,7200000,900000.0,,,,198.75
50,7200000,900000.0,0.755,258.87,,
51,7360000,920000.0,,,,180.02
52,7520000,940000.0,,,,175.895
53,7680000,960000.0,,,,226.825
54,7840000,980000.0,,,,223.68
55,8000000,1000000.0,,,,185.275
56,8160000,1020000.0,,,,226.27
57,8320000,1040000.0,,,,197.28
58,8480000,1060000.0,,,,234.97
59,8640000,1080000.0,,,,240.575
60,8640000,1080000.0,0.82,287.605,,
61,8800000,1100000.0,,,,196.905
62,8960000,1120000.0,,,,217.06
63,9120000,1140000.0,,,,232.775
64,9280000,1160000.0,,,,239.515
65,9440000,1180000.0,,,,233.955
66,9600000,1200000.0,,,,248.02
67,9760000,1220000.0,,,,256.93
68,9920000,1240000.0,,,,253.15
69,10080000,1260000.0,,,,228.555
70,10080000,1260000.0,0.815,296.095,,
71,10240000,1280000.0,,,,230.395
72,10400000,1300000.0,,,,272.585
73,10560000,1320000.0,,,,249.46
74,10720000,1340000.0,,,,245.085
75,10880000,1360000.0,,,,250.765
76,11040000,1380000.0,,,,240.415
77,11200000,1400000.0,,,,242.19
78,11360000,1420000.0,,,,247.43
79,11520000,1440000.0,,,,282.105
80,11520000,1440000.0,0.925,337.85,,
81,11680000,1460000.0,,,,265.345
82,11840000,1480000.0,,,,272.17
83,12000000,1500000.0,,,,256.235
84,12160000,1520000.0,,,,275.74
85,12320000,1540000.0,,,,256.655
86,12480000,1560000.0,,,,256.6
87,12640000,1580000.0,,,,256.41
88,12800000,1600000.0,,,,263.745
89,12960000,1620000.0,,,,253.83
90,12960000,1620000.0,0.885,331.125,,
91,13120000,1640000.0,,,,247.925
92,13280000,1660000.0,,,,268.275
93,13440000,1680000.0,,,,262.97
94,13600000,1700000.0,,,,258.235
95,13760000,1720000.0,,,,265.01
96,13920000,1740000.0,,,,280.885
97,14080000,1760000.0,,,,287.88
98,14240000,1780000.0,,,,269.45
99,14400000,1800000.0,,,,277.385
100,14400000,1800000.0,0.93,334.055,,
101,14560000,1820000.0,,,,240.715
102,14720000,1840000.0,,,,268.105
103,14880000,1860000.0,,,,258.995
104,15040000,1880000.0,,,,251.125
105,15200000,1900000.0,,,,283.96
106,15360000,1920000.0,,,,282.135
107,15520000,1940000.0,,,,267.97
108,15680000,1960000.0,,,,285.605
109,15840000,1980000.0,,,,248.325
110,15840000,1980000.0,0.905,335.425,,
111,16000000,2000000.0,,,,259.155
112,16160000,2020000.0,,,,283.26
113,16320000,2040000.0,,,,293.735
114,16480000,2060000.0,,,,242.895
115,16640000,2080000.0,,,,269.465
116,16800000,2100000.0,,,,248.61
117,16960000,2120000.0,,,,243.595
118,17120000,2140000.0,,,,276.485
119,17280000,2160000.0,,,,287.88
120,17280000,2160000.0,0.92,352.745,,
121,17440000,2180000.0,,,,288.775
122,17600000,2200000.0,,,,307.78
123,17760000,2220000.0,,,,292.92
124,17920000,2240000.0,,,,289.345
125,18080000,2260000.0,,,,280.37
126,18240000,2280000.0,,,,295.515
127,18400000,2300000.0,,,,292.565
128,18560000,2320000.0,,,,283.115
129,18720000,2340000.0,,,,296.715
130,18720000,2340000.0,0.89,354.645,,
131,18880000,2360000.0,,,,291.655
132,19040000,2380000.0,,,,306.155
133,19200000,2400000.0,,,,302.055
134,19360000,2420000.0,,,,327.625
135,19520000,2440000.0,,,,306.135
136,19680000,2460000.0,,,,314.22
137,19840000,2480000.0,,,,307.405
138,20000000,2500000.0,,,,319.52
139,20160000,2520000.0,,,,320.13
140,20160000,2520000.0,0.955,378.83,,
141,20320000,2540000.0,,,,308.725
142,20480000,2560000.0,,,,328.005
143,20640000,2580000.0,,,,322.055
144,20800000,2600000.0,,,,291.63
145,20960000,2620000.0,,,,304.14
146,21120000,2640000.0,,,,313.315
147,21280000,2660000.0,,,,321.615
148,21440000,2680000.0,,,,325.145
149,21600000,2700000.0,,,,307.66
150,21600000,2700000.0,0.955,385.18,,
151,21760000,2720000.0,,,,310.42
152,21920000,2740000.0,,,,311.985
153,22080000,2760000.0,,,,305.71
154,22240000,2780000.0,,,,308.905
155,22400000,2800000.0,,,,308.555
156,22560000,2820000.0,,,,330.295
157,22720000,2840000.0,,,,309.505
158,22880000,2860000.0,,,,311.285
159,23040000,2880000.0,,,,297.425
