iteration,environment_steps,eval_episode_reward,train_episode_reward
0,0,2772.202863878287,
1,80000,,2458.017153624669
2,160000,,2168.4447154575623
3,240000,,2670.634829419699
4,320000,,2577.403823494592
5,400000,,2685.432089653437
6,480000,,2590.035436996837
7,560000,,2503.0632044947065
8,640000,,2944.2494684287144
9,720000,,2757.610283368144
10,720000,3029.6757160388593,
11,800000,,3073.486339889643
12,880000,,2968.1325113386015
13,960000,,2966.920764580603
14,1040000,,3208.789249566113
15,1120000,,3091.5849984751812
16,1200000,,3188.6435220409026
17,1280000,,3285.312260425296
18,1360000,,3116.1436763892457
19,1440000,,3170.4320917074624
20,1440000,3419.095553462887,
21,1520000,,3322.698251777565
22,1600000,,3291.391580964602
23,1680000,,3228.6940708715542
24,1760000,,3350.927437961389
25,1840000,,3207.221963606347
26,1920000,,3308.1783507207897
27,2000000,,3520.673851577191
28,2080000,,3298.9685635879473
29,2160000,,3271.6604579484374
30,2160000,3548.494412620971,
31,2240000,,3517.8888756962624
32,2320000,,3435.8156933900323
33,2400000,,3421.348743989763
34,2480000,,3497.6465167474917
35,2560000,,3560.016658911145
36,2640000,,3463.300097189939
37,2720000,,3534.2363825060406
38,2800000,,3676.7725032633803
39,2880000,,3481.4436967508245
40,2880000,3596.5411882379703,
41,2960000,,3517.1813892922714
42,3040000,,3551.730818900321
43,3120000,,3485.4751250754807
44,3200000,,3540.3979903295913
45,3280000,,3483.1686101672776
46,3360000,,3430.620568260029
47,3440000,,3515.3805707594797
48,3520000,,3482.8812649255506
49,3600000,,3473.825097021432
50,3600000,3546.6726776555806,
51,3680000,,3507.717392803978
52,3760000,,3490.124331410403
53,3840000,,3483.3648939637537
54,3920000,,3462.2877519023937
55,4000000,,3460.5840286836874
56,4080000,,3413.9429240044074
57,4160000,,3440.764381684994
58,4240000,,3350.8157916078567
59,4320000,,3410.5806195851287
60,4320000,3462.4885260545648,
61,4400000,,3460.3487599749164
62,4480000,,3342.9416380438183
63,4560000,,3393.7725406288378
64,4640000,,3409.232072173579
65,4720000,,3462.517826029591
66,4800000,,3426.4953265605277
67,4880000,,3403.9411233293094
68,4960000,,3366.3994277939773
69,5040000,,3431.432885981531
70,5040000,3410.892915300966,
71,5120000,,3397.1513550799036
72,5200000,,3399.7526869667204
73,5280000,,3388.604170268064
74,5360000,,3385.267342650903
75,5440000,,3350.3774434306993
76,5520000,,3408.873610876476
77,5600000,,3347.814719214489
78,5680000,,3354.6174792094225
79,5760000,,3310.9249127841244
80,5760000,3286.405303110104,
81,5840000,,3321.273072765854
82,5920000,,3333.0187339549316
83,6000000,,3291.838677147047
84,6080000,,3342.4669996320254
85,6160000,,3317.2346414892986
86,6240000,,3328.4814712786597
87,6320000,,3336.07616713582
88,6400000,,3267.386946889271
89,6480000,,3323.4615283018757
90,6480000,3283.672282931446,
91,6560000,,3242.6448619343323
92,6640000,,3224.7654938516894
93,6720000,,3206.2225695749416
94,6800000,,3276.1854080336843
95,6880000,,3338.055515868395
96,6960000,,3265.1945200598566
97,7040000,,3270.974359372864
98,7120000,,3239.2181713629275
99,7200000,,3327.1713973933784
100,7200000,3282.462199210865,
101,7280000,,3223.0524337050156
102,7360000,,3180.4909782334753
103,7440000,,3215.042370174064
104,7520000,,3241.10524852839
105,7600000,,3331.9095988191784
106,7680000,,3316.143381333453
107,7760000,,3258.0220144547507
108,7840000,,3131.9087185069325
109,7920000,,3280.4621980092334
110,7920000,3292.1960677269717,
111,8000000,,3328.5471579678715
112,8080000,,3242.5943197350502
113,8160000,,3298.509951452299
114,8240000,,3354.9389170255618
115,8320000,,3247.294095481689
116,8400000,,3308.7913765367234
117,8480000,,3256.0152653820796
118,8560000,,3284.923347282089
119,8640000,,3294.1557135232256
120,8640000,3323.6162164220527,
121,8720000,,3340.526776536066
122,8800000,,3272.946175658747
123,8880000,,3332.1924271044873
124,8960000,,3325.7618975831515
125,9040000,,3331.6283139398433
126,9120000,,3330.644539029396
127,9200000,,3320.5598694476503
128,9280000,,3302.1648956918225
129,9360000,,3338.837709931579
130,9360000,3340.914672280885,
131,9440000,,3274.3321506236052
132,9520000,,3325.282555976526
133,9600000,,3292.9526351785858
134,9680000,,3355.049746270498
135,9760000,,3334.485698484335
136,9840000,,3357.048088834956
137,9920000,,3352.0053221681083
138,10000000,,3330.2403537856976
139,10080000,,3354.3483111915066
140,10080000,3318.2693389111396,
141,10160000,,3323.998860062737
142,10240000,,3352.227123274969
143,10320000,,3324.8522127552606
144,10400000,,3302.0720698231476
145,10480000,,3314.5957553756034
146,10560000,,3317.0576687141706
147,10640000,,3344.2119158022815
148,10720000,,3325.670071170142
149,10800000,,3389.93029680939
150,10800000,3364.637273277431,
151,10880000,,3340.360200578338
152,10960000,,3355.0965464572855
153,11040000,,3339.705562301988
154,11120000,,3286.928584739592
155,11200000,,3346.775642944935
156,11280000,,3357.322521654215
157,11360000,,3313.0536151786882
158,11440000,,3334.695449600093
159,11520000,,3285.998263989312
160,11520000,3364.818998367012,
161,11600000,,3359.7930088000235
162,11680000,,3339.7429060352733
163,11760000,,3314.250129539802
164,11840000,,3279.3451690084667
165,11920000,,3351.022350340351
166,12000000,,3365.4913912208763
167,12080000,,3366.1169321860825
168,12160000,,3361.470604846717
169,12240000,,3304.1261647581046
170,12240000,3326.541485068221,
171,12320000,,3313.1407819948145
172,12400000,,3352.304961339786
173,12480000,,3361.5801502654376
174,12560000,,3347.3065275970766
175,12640000,,3362.2158691940153
176,12720000,,3393.8186174315892
177,12800000,,3361.250956394387
178,12880000,,3332.7127607418342
179,12960000,,3351.1185271709373
180,12960000,3295.7755546199814,
181,13040000,,3288.5213617623485
182,13120000,,3305.3301732483947
183,13200000,,3333.3860008797756
184,13280000,,3317.9218512633943
185,13360000,,3340.4189541808273
186,13440000,,3339.0626726580094
187,13520000,,3351.2971329182265
188,13600000,,3370.6667784913648
189,13680000,,3372.6032247243584
190,13680000,3358.295704916937,
191,13760000,,3382.1632825869788
192,13840000,,3361.881712753439
193,13920000,,3356.2744358012596
194,14000000,,3372.657220244507
195,14080000,,3356.7757137935628
196,14160000,,3310.329095975527
197,14240000,,3341.6287117750485
198,14320000,,3345.3933400653295
199,14400000,,3366.688285671487
200,14400000,3336.2913388743464,
201,14480000,,3384.6620131810328
202,14560000,,3303.5367865238404
203,14640000,,3335.9250378724482
204,14720000,,3386.3438419475538
205,14800000,,3334.045430848108
206,14880000,,3230.912116140468
207,14960000,,3244.0449947233933
208,15040000,,3276.4431709207824
209,15120000,,3344.8816651759016
210,15120000,3304.811033639098,
211,15200000,,3271.692123096848
212,15280000,,3286.032042451145
213,15360000,,3318.3756464040785
214,15440000,,3240.5063793806294
215,15520000,,3281.810669263152
216,15600000,,3328.5497907377207
217,15680000,,3349.668387143341
218,15760000,,3365.2433518350954
219,15840000,,3359.886629741707
220,15840000,3320.7493958162668,
221,15920000,,3306.7779371331503
222,16000000,,3335.319971393972
223,16080000,,3339.818932161547
224,16160000,,3340.1556389664493
225,16240000,,3367.425430007179
226,16320000,,3328.4747844096178
227,16400000,,3346.070742889367
228,16480000,,3342.6308131170836
229,16560000,,3351.697079048629
230,16560000,3378.3008503166084,
231,16640000,,3336.7780040589846
232,16720000,,3369.6191795735863
233,16800000,,3355.7409409478596
234,16880000,,3344.671894664615
235,16960000,,3395.6873293877725
236,17040000,,3349.584681247308
237,17120000,,3373.936811186032
238,17200000,,3360.8432144279222
239,17280000,,3432.43432297849
240,17280000,3454.300320169609,
241,17360000,,3436.3125946297055
242,17440000,,3455.7496925134524
243,17520000,,3439.3608175668787
244,17600000,,3488.7846421747063
245,17680000,,3384.2607831763426
246,17760000,,3445.205989854271
247,17840000,,3477.5912583544364
248,17920000,,3457.024955831607
249,18000000,,3420.2437290286703
250,18000000,3523.813696678169,
251,18080000,,3476.7865761260314
252,18160000,,3445.4380377968077
253,18240000,,3487.8518063281313
254,18320000,,3524.2529839248364
255,18400000,,3507.1639073896586
256,18480000,,3523.1276923459136
257,18560000,,3494.432042381906
258,18640000,,3485.412639477869
259,18720000,,3401.356315917081
260,18720000,3528.522439664819,
261,18800000,,3492.43427477634
262,18880000,,3507.0413544081616
263,18960000,,3453.858584043391
264,19040000,,3495.572839398847
265,19120000,,3419.7697014025393
266,19200000,,3381.7617963581047
267,19280000,,3365.896635709637
268,19360000,,3467.9823848873452
269,19440000,,3495.6684995329083
270,19440000,3553.0423376612735,
271,19520000,,3421.8395847261722
272,19600000,,3509.9772217141335
273,19680000,,3462.318059743709
274,19760000,,3427.552616409395
275,19840000,,3478.4288012936195
276,19920000,,3500.9053450163124
277,20000000,,3518.6272367885003
278,20080000,,3316.352419321771
279,20160000,,3391.8474700236334
280,20160000,3510.356102563096,
281,20240000,,3464.020881398044
282,20320000,,3333.251736626947
283,20400000,,3473.1683119464287
284,20480000,,3430.1184209960416
285,20560000,,3511.2689101946607
286,20640000,,3383.8416050004666
287,20720000,,3413.2426695605604
288,20800000,,3501.9512245749847
289,20880000,,3396.5518805788847
290,20880000,3467.992864364713,
291,20960000,,3490.9717855962836
292,21040000,,3407.294581392919
293,21120000,,3450.0400244886723
294,21200000,,3418.2720261538543
295,21280000,,3379.8919384272085
296,21360000,,3301.47954810474
297,21440000,,3507.305217416064
298,21520000,,3458.432248470122
299,21600000,,3528.818423463106
300,21600000,3468.837349462293,
301,21680000,,3349.501033040124
302,21760000,,3299.360226451968
303,21840000,,3408.8725314888366
304,21920000,,3485.38377770561
305,22000000,,3310.225493891578
306,22080000,,3317.510225109142
307,22160000,,3398.7843595226386
308,22240000,,3480.414929654377
309,22320000,,3264.725921604604
310,22320000,3473.5457874925896,
311,22400000,,3506.5146981031144
312,22480000,,3459.842541401305
313,22560000,,3475.4788295681265
314,22640000,,3385.1287369534366
315,22720000,,3454.4933891163173
316,22800000,,3387.7257615837093
317,22880000,,3487.1184054350233
318,22960000,,3389.6455244365384
319,23040000,,3433.6679877582733
320,23040000,3440.88541501266,
321,23120000,,3391.693080672873
322,23200000,,3517.736749835587
323,23280000,,3388.266531067009
324,23360000,,3497.3038390250686
325,23440000,,3490.0186297932273
326,23520000,,3514.109618777942
327,23600000,,3463.1808189709095
328,23680000,,3484.2416404868713
329,23760000,,3521.455066255866
330,23760000,3465.997088526439,
331,23840000,,3498.6825146696556
332,23920000,,3420.1128144711483
333,24000000,,3364.6149533728267
334,24080000,,3409.792587700017
335,24160000,,3438.686710286169
336,24240000,,3468.4889126843036
337,24320000,,3450.033637307137
338,24400000,,3371.589765378116
339,24480000,,3505.1531305813996
340,24480000,3495.9569937342376,
341,24560000,,3528.859306170457
342,24640000,,3491.4420161457097
343,24720000,,3497.877660146955
344,24800000,,3462.658205780742
345,24880000,,3513.4681121720296
346,24960000,,3550.2240491011853
347,25040000,,3471.8244488375844
348,25120000,,3593.2741278390963
349,25200000,,3458.404027536699
350,25200000,3566.1282434026703,
351,25280000,,3585.045935935273
352,25360000,,3602.4528045124725
353,25440000,,3451.2323789495326
354,25520000,,3555.7915180742
355,25600000,,3645.2104361901756
356,25680000,,3568.5164043219206
357,25760000,,3467.0204422646934
358,25840000,,3568.0262117265106
359,25920000,,3476.808060629635
360,25920000,3491.897688983132,
361,26000000,,3503.1938606877184
362,26080000,,3424.386109057333
363,26160000,,3142.1902922272857
364,26240000,,3490.3754808971016
365,26320000,,3387.619174050826
366,26400000,,3550.2972562282835
367,26480000,,3550.788545899561
368,26560000,,3584.665087911356
369,26640000,,3590.4079388027317
370,26640000,3616.8809144595607,
371,26720000,,3531.3650528803523
372,26800000,,3548.0607662358398
373,26880000,,3628.429871821809
374,26960000,,3576.381665567558
375,27040000,,3542.506300335849
376,27120000,,3394.1917905173927
377,27200000,,3625.637432308834
378,27280000,,3576.5538820258926
379,27360000,,3682.3064600179846
380,27360000,3652.622975790204,
381,27440000,,3566.116150573422
382,27520000,,3469.4786351795365
383,27600000,,3659.2028197736095
384,27680000,,3644.837910200349
385,27760000,,3507.479200526568
386,27840000,,3684.281306370181
387,27920000,,3525.569048067241
388,28000000,,3670.3897197508045
389,28080000,,3472.913489196524
390,28080000,3626.623261421256,
391,28160000,,3508.660610427712
392,28240000,,3654.4050810769786
393,28320000,,3579.1956690630664
394,28400000,,3596.453656489441
395,28480000,,3729.4397832322998
396,28560000,,3582.5824435405425
397,28640000,,3614.719618895427
